Item.Number,tol_profit,botl_profit,State.Bottle.Cost
43608,0.0018460400000000002,5.32,10.64
997100,0.0018457199999999995,17.089999999999996,34.17
58758,0.0018414000000000002,3.7199999999999998,7.44
66136,0.00184,5,10
987279,0.001836,19.125,38.25
100659,0.001836,8.5,17
905862,0.0018302553191489367,11.297872340425535,22.585851063829786
88332,0.00183,7.5,15
75162,0.0018295199999999998,5.9399999999999995,11.88
964525,0.0018255085714285718,8.94857142857143,17.88714285714286
995932,0.0018225,33.75,67.5
926814,0.0018225,11.25,22.5
73811,0.0018210218978102187,2.890510948905109,5.781021897810219
26520,0.00182,13,26
88104,0.00182,10,20
26176,0.00182,2.5,5
977232,0.0018184400000000006,6.760000000000002,13.52
39777,0.00181753,4.51,9.01
65198,0.0018160799999999994,11.279999999999998,22.55
4456,0.0018159399999999996,16.659999999999997,33.32
16829,0.001815,7.5,15
77316,0.001815,2.75,5.5
101462,0.0018146000000000004,2.1500000000000004,4.3
902613,0.0018130114285714286,5.595714285714285,11.191428571428572
904552,0.0018122400000000003,16.78,33.55
27877,0.0018104800000000004,7.420000000000002,14.84
101483,0.00181,5,10
36709,0.0018070730337078652,5.560224719101123,10.939775280898877
101201,0.001806,10.5,21
3456,0.001806,7,14
916567,0.0018,50,100
916809,0.0018,37.5,75
16841,0.0018,30,60
988729,0.0018,20,40
903122,0.0018,18.75,37.49
919488,0.0018,15,30
15636,0.0018,12.5,25
902323,0.0018,10,19.99
989178,0.0018,7.5,15
937468,0.0018,5,10
904237,0.0017999999999999995,29.999999999999993,59.99
942403,0.0017999512499999998,13.043125,18.27
73747,0.0017986499999999997,3.1499999999999995,6.3
987507,0.00179712,2.34,4.67
77336,0.001794,6.5,13
678,0.00179,10,20
926269,0.0017859599999999998,4.51,9.02
65456,0.0017828399999999995,9.959999999999997,19.92
26508,0.001782,13.5,27
926958,0.001782,6.75,13.5
902424,0.0017808000000000001,5.300000000000001,10.59
902840,0.0017802000000000002,4.300000000000001,8.6
100948,0.0017797299999999998,5.51,11.01
905734,0.0017784200000000002,14.114444444444445,28.226666666666667
37069,0.0017775,4.5,9
56767,0.0017774400000000001,1.6099999999999999,3.22
932343,0.00177625,8.75,17.5
902975,0.00176586,15.489999999999998,30.98
34451,0.0017639914285714283,4.9971428571428564,9.994285714285715
2959,0.0017639000000000003,11.380000000000003,22.75
66580,0.00176375,4.25,8.5
73135,0.0017621700000000004,11.670000000000002,23.33
58879,0.0017608799999999998,5.52,11.04
927797,0.0017608799999999994,13.339999999999996,26.67
915978,0.00176016,36.67,73.33
73848,0.001758,3,6
27774,0.0017577,4.34,8.68
64534,0.0017557020000000005,7.503000000000002,14.997166666666667
86872,0.0017535,10.5,21
926925,0.001752,18.25,36.5
926985,0.0017499000000000004,58.33000000000001,116.66
41701,0.0017485,3.25,6.5
89924,0.0017472599999999996,11.419999999999998,22.84
89504,0.00174675,12.75,25.5
73607,0.0017425,4.25,8.5
989200,0.001742,16.75,33.49
927145,0.0017415,32.25,64.5
906264,0.0017409599999999997,36.269999999999996,72.54
34300,0.00174064,3.6799999999999997,7.35
989960,0.001734,17,34
39635,0.00173342273381295,2.3174100719424464,4.627553956834532
989503,0.0017325,26.25,52.5
80017,0.0017292000000000002,3.3000000000000007,6.6
75161,0.0017285399999999998,5.9399999999999995,11.88
86531,0.0017279999999999995,2.6999999999999993,5.4
100335,0.0017262,9.59,19.17
903764,0.001725,25,50
5918,0.001725,12.5,25
928133,0.001725,11.5,23
937640,0.001722,7,14
32819,0.0017205,9.25,18.5
28812,0.00171678,9.23,18.45
942631,0.0017156399999999998,9.86,19.71
12881,0.001715613644859813,2.6932710280373833,5.3865420560747665
88089,0.0017140199999999995,11.659999999999997,23.32
65218,0.001713415108695652,4.618369565217391,9.226739130434783
903355,0.0017064599999999997,17.775624999999998,35.546875
28040,0.0017060399999999998,0.6299999999999999,1.25
101239,0.001705,5,10
78022,0.00170408,2.38,4.75
72973,0.0017016999999999998,7.699999999999999,15.39
904829,0.0017001,56.67,113.33
87102,0.00169575,14.25,28.5
976414,0.0016947375000000004,6.568750000000001,13.128125
88071,0.0016906999999999996,11.659999999999997,23.32
902912,0.0016875,31.25,62.5
88152,0.00168592,6.5600000000000005,13.12
977663,0.0016850400000000005,4.130000000000001,8.25
964076,0.0016833599999999998,5.01,10.02
37010,0.0016820399999999997,4.279999999999999,8.56
72501,0.0016815,4.75,9.5
67265,0.0016806900000000003,4.630000000000001,9.25
87906,0.00168,15,30
100585,0.00168,10,20
994695,0.0016790400000000001,17.490000000000002,34.98
917669,0.0016753837500000002,10.341875000000002,20.68375
902031,0.0016751236363636366,3.246363636363637,6.489090909090909
101139,0.00167325,5.75,11.5
936097,0.0016726799999999997,2.63,5.25
87180,0.00167,10,20
78593,0.0016675200000000002,8.64,17.28
42426,0.001665648314606741,3.543932584269662,7.085955056179776
33938,0.001665,3.75,7.5
4788,0.00166375,13.75,27.5
977358,0.0016629600000000002,6.760000000000002,13.52
906596,0.0016614000000000002,9.23,18.45
915907,0.00166104,15.379999999999999,30.76
100787,0.001661,11,22
100414,0.0016592699999999998,7.789999999999999,15.57
27163,0.001659,10.5,21
46686,0.0016587999999999998,7.149999999999999,14.3
903995,0.0016575240000000005,8.371333333333336,16.733999999999998
101021,0.0016575,12.75,25.5
43682,0.0016561199999999996,14.919999999999998,29.84
26292,0.0016547999999999997,8.399999999999999,16.8
34505,0.001652,3.5,7
922097,0.00165,37.5,75
927677,0.00165,12.5,25
39325,0.001648,8,16
66208,0.00164625,3.75,7.49
