Item.Number,Category,Vendor,Pack,Bottle.Volume..ml.,State.Bottle.Retail,County,Store,City,Bottles.Sold,Popularity,Covid_index,PopularityC
89626,1022200,2,12,750,42.78703459202535,98,547,156,18916,FALSE,0.4323215619332125,1
89635,1022200,1,24,375,7.49,20,69,28,1402,FALSE,0.29954123546356554,1
89644,1022200,2,12,375,24.793805309734513,52,186,68,3641,FALSE,0.2534247306091967,1
89646,1022200,2,12,750,46.53007789959607,90,426,136,14611,FALSE,0.297455457164195,1
89665,1022200,1,6,750,36.94198337292161,42,141,62,2771,FALSE,0.07314627120452363,1
89754,1092100,1,12,750,43.26927536231884,21,37,25,197,FALSE,NA,0
89757,1092100,1,12,750,41.6,21,38,27,200,FALSE,NA,0
89781,1022200,1,12,500,8.1,72,285,111,8287,FALSE,-0.2859223300970874,0
89786,1022100,1,12,750,14.88248538011696,88,488,127,19844,FALSE,-0.4661527792595754,0
89787,1022100,1,12,1000,17.52090909090909,54,106,69,27219,TRUE,0.5016163448202283,1
89788,1022100,1,6,1750,28.398268656716418,26,43,33,1921,FALSE,0.05697748853088659,1
89796,1022200,1,12,750,22.158407643312103,42,120,56,5824,FALSE,0.16616344820228315,1
89820,1092100,1,4,750,143.25,9,17,12,41,FALSE,NA,0
89824,1022300,2,6,750,30,37,101,52,4406,FALSE,0.0488104128880828,1
89836,1022200,1,12,750,19.724754098360656,96,574,149,52449,TRUE,0.9846740638002773,1
89837,1022200,1,12,1000,22.22828537170264,61,149,85,32734,TRUE,0.052672570148298306,1
89838,1022200,1,6,1750,35.92634831460674,45,111,57,13273,FALSE,-0.196548597034034,0
89841,1022100,1,12,750,23.687093023255812,30,86,46,1328,FALSE,0.2858209751413635,1
89846,1022200,1,6,750,31.49,57,218,83,7200,FALSE,0.25323268964045664,1
89879,1022200,1,6,750,49.5,16,42,23,255,FALSE,NA,0
89882,1022200,1,6,750,44.25,16,43,22,326,FALSE,NA,0
89887,1022100,1,12,1000,9.95,35,69,43,45492,TRUE,-0.6561506454710339,0
89916,1022100,1,12,750,9.88050980392157,83,246,132,10566,FALSE,-0.05563853622106049,0
89924,1022200,1,6,750,34.26,20,32,25,153,FALSE,NA,0
89952,1022200,1,12,1000,9,10,15,13,250,FALSE,NA,0
89956,1022200,1,6,1750,16.13,8,13,10,156,FALSE,NA,0
93557,1041100,1,6,750,27.75,21,52,30,315,FALSE,NA,0
100001,1701100,1,24,100,12,9,11,9,119,FALSE,NA,0
100015,1081600,1,3,3500,45,83,337,142,3754,FALSE,0.28820014936519794,1
100017,1701100,1,6,1950,35.43,15,24,16,676,FALSE,NA,0
100018,1701100,1,6,750,22.38,14,21,17,74,FALSE,NA,0
100024,1701100,2,6,750,25.86,8,19,11,120,FALSE,NA,0
100027,1032200,1,6,750,17.24,14,20,17,386,FALSE,NA,0
100032,1701100,1,6,750,149.99,8,15,8,61,FALSE,NA,0
100035,1701100,1,6,750,27.14,55,75,62,1693,FALSE,0.11111170383015043,1
100037,1701100,1,6,1850,22.13,30,54,41,997,FALSE,0.514589779152886,1
100040,1082100,2,6,750,34.97,49,100,67,581,FALSE,NA,0
100041,NA,1,6,750,44.99,20,42,24,404,FALSE,NA,0
100051,1701100,1,6,750,35.24,6,9,9,174,FALSE,NA,0
100068,NA,1,4,1000,53.63,12,24,18,349,FALSE,NA,0
100071,1032100,1,3,1750,29.99,20,33,23,761,FALSE,0.40325936199722606,1
100077,1701100,1,6,750,15.68,67,206,105,3300,FALSE,0.49261709164621786,1
100083,1031100,1,6,750,18.57,6,6,6,26,FALSE,NA,0
100100,1701100,1,6,750,23.61,22,35,23,300,FALSE,NA,0
100107,1701100,1,6,1850,27,80,238,116,15869,FALSE,-6.025216046089833,0
100108,1701100,1,6,1850,27,74,186,106,13923,FALSE,-1.4766936946548597,0
100119,1091200,1,6,750,25.73,12,20,18,1140,FALSE,-0.17452256481382694,0
100127,1701100,1,6,750,25.73,42,86,53,1752,FALSE,0.39990397951563,1
100128,1701100,2,12,750,18.676407185628744,49,113,66,2353,FALSE,0.9970607062840072,1
100129,1701100,2,12,750,18.675348837209302,54,153,80,3275,FALSE,0.9178224687933426,1
100135,NA,1,6,750,30.02,40,64,47,480,FALSE,NA,0
100137,1701100,1,6,750,23.36,28,47,37,371,FALSE,NA,0
100144,1701100,1,6,750,30,21,24,24,133,FALSE,NA,0
100148,1011300,1,6,750,41.39,72,173,104,1047,FALSE,0.044462818734663394,1
100152,1701100,1,6,750,11.91,10,14,12,67,FALSE,NA,0
100161,1022200,1,6,750,23.19,27,35,31,181,FALSE,NA,0
100165,1701100,1,3,1750,29.99,29,47,36,1719,FALSE,-0.40195775098687725,0
100179,1701100,1,6,750,21,21,31,27,284,FALSE,NA,0
100189,1701100,1,6,750,29.97,11,22,16,115,FALSE,NA,0
100201,1012200,1,6,750,29.97,14,23,17,567,FALSE,NA,0
100202,1701100,1,6,750,21.803848214285715,90,380,139,12872,FALSE,-0.286226394964259,0
100208,1701100,1,4,1750,47.99,34,50,38,255,FALSE,NA,0
100210,1700000,1,6,750,30.520434782608696,24,40,32,404,FALSE,NA,0
100215,1081200,1,6,750,15.89775119617225,87,314,136,4993,FALSE,-0.6694281446708632,0
100216,1701100,1,6,750,13.49,10,12,10,61,FALSE,NA,0
100227,NA,1,6,750,22.5,18,24,21,121,FALSE,NA,0
100229,NA,1,6,750,15.53,2,2,2,12,FALSE,NA,0
100230,1701100,1,6,750,11.99,29,35,33,160,FALSE,NA,0
100232,1701100,1,6,750,20.73,7,8,7,138,FALSE,NA,0
100233,1701100,1,6,750,22.5,38,93,50,1164,FALSE,-0.2040648671716633,0
100234,1701100,1,6,750,17.01,11,14,11,161,FALSE,NA,0
100236,1701100,1,6,750,20.25,34,59,43,238,FALSE,NA,0
100241,1701100,1,6,1850,39.99,5,5,5,15,FALSE,NA,0
100243,1701100,1,6,750,14.48,42,97,54,1473,FALSE,0.6125946868665315,1
100245,1701100,1,6,750,20.25,25,47,30,695,FALSE,NA,0
100246,1701100,1,6,750,19.26,35,63,46,1268,FALSE,-0.1380561186386429,0
100258,1701100,1,6,1000,50.01,53,116,73,1793,FALSE,-0.20495572388776273,0
100274,1011100,1,6,750,15,15,15,15,53,FALSE,NA,0
100280,1071100,1,12,20,14.25,42,85,64,603,FALSE,NA,0
100282,NA,1,6,750,22.5,1,1,1,3,FALSE,NA,0
100293,1011200,1,10,100,42,12,20,18,281,FALSE,NA,0
100294,1701100,1,6,750,13.5,39,78,55,672,FALSE,NA,0
100298,1701100,1,6,900,11.54,25,36,30,553,FALSE,NA,0
100300,1031100,1,6,1800,15,20,39,26,513,FALSE,NA,0
